freq,siec,unit,geo\TIME_PERIOD	2016-01 	2016-02 	2016-03 	2016-04 	2016-05 	2016-06 	2016-07 	2016-08 	2016-09 	2016-10 	2016-11 	2016-12 	2017-01 	2017-02 	2017-03 	2017-04 	2017-05 	2017-06 	2017-07 	2017-08 	2017-09 	2017-10 	2017-11 	2017-12 	2018-01 	2018-02 	2018-03 	2018-04 	2018-05 	2018-06 	2018-07 	2018-08 	2018-09 	2018-10 	2018-11 	2018-12 	2019-01 	2019-02 	2019-03 	2019-04 	2019-05 	2019-06 	2019-07 	2019-08 	2019-09 	2019-10 	2019-11 	2019-12 	2020-01 	2020-02 	2020-03 	2020-04 	2020-05 	2020-06 	2020-07 	2020-08 	2020-09 	2020-10 	2020-11 	2020-12 	2021-01 	2021-02 	2021-03 	2021-04 	2021-05 	2021-06 	2021-07 	2021-08 	2021-09 	2021-10 	2021-11 	2021-12 	2022-01 	2022-02 	2022-03 	2022-04 	2022-05 	2022-06 	2022-07 	2022-08 	2022-09 	2022-10 	2022-11 	2022-12 	2023-01 	2023-02 	2023-03 	2023-04 	2023-05 	2023-06 	2023-07 	2023-08 	2023-09 	2023-10 	2023-11 	2023-12 	2024-01 	2024-02 
M,C0000,GWH,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
M,C0000,GWH,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	508.458 	397.125 	340.544 	248.780 	200.568 	193.254 	201.199 	190.776 	183.012 	340.628 	419.984 	406.287 	391.157 	387.824 	410.010 	218.977 	187.384 	161.986 	135.053 	106.711 	168.780 	391.961 	394.918 	397.870 	355.459 	344.164 	311.954 	266.525 	237.378 	251.168 	286.812 	136.737 	156.339 	305.497 	263.318 	259.363 	292.147 	274.941 	281.332 	131.107 	139.213 	134.765 	128.357 	143.488 	142.421 	175.696 	149.781 	170.223 	167.793 	160.367 	182.632 	158.973 	184.513 	169.577 	137.918 	165.035 	144.393 	164.731 	164.526 	163.837 	165.333 	143.377 	169.811 	159.652 	152.658 	162.048 	151.533 	134.946 	143.317 	136.728 	139.157 	143.655 	146.057 	124.506 	174.113 	163.768 	166.089 	155.749 	169.903 	108.038 	118.566 	147.864 	146.045 	158.347 	162.180 	147.654 
M,C0000,GWH,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1065.049 	961.436 	936.444 	742.893 	667.715 	933.313 	945.234 	933.804 	: 	: 	: 	: 	949.291 	923.503 	830.760 	539.470 	760.481 	: 	: 	: 	: 	: 	: 	: 	955.961 	836.243 	846.348 	507.408 	588.873 	671.341 	963.187 	981.843 	820.366 	705.066 	839.375 	906.880 	1099.804 	936.056 	851.165 	838.391 	824.245 	680.048 	836.285 	942.794 	749.714 	740.678 	960.255 	961.908 	1027.328 	873.760 	828.408 	671.213 	652.251 	774.981 	898.481 	802.271 	774.858 	820.954 	859.913 	841.088 	926.896 	821.186 	876.931 	853.611 	789.873 	725.606 	775.749 	830.609 	658.845 	696.131 	871.516 	812.929 	758.155 	576.793 	705.325 	714.129 	570.075 	609.009 	708.150 	842.148 	756.990 	796.937 	692.416 	685.594 	836.717 	: 
M,C0000,GWH,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	177.694 	183.838 	193.451 	172.381 	199.159 	169.536 	201.608 	192.352 	174.815 	193.198 	167.167 	195.131 	145.355 	159.630 	193.087 	158.185 	170.619 	182.855 	203.318 	192.052 	194.085 	185.107 	175.141 	175.037 	194.270 	180.355 	208.543 	186.245 	207.205 	188.292 	203.414 	206.059 	166.122 	213.059 	185.090 	165.561 	185.458 	174.439 	176.138 	131.657 	148.188 	142.405 	198.045 	166.553 	112.826 	100.303 	61.480 	78.594 	95.473 	54.493 	153.086 	182.590 	151.491 	170.348 	197.011 	207.106 	13.126 	1.508 	158.441 	191.497 	179.946 	134.797 	175.083 	158.312 	166.941 	153.344 	175.034 	180.957 	165.409 	186.661 	165.381 	197.783 	182.894 	145.539 	178.444 	162.569 	159.743 	164.543 	171.772 	171.492 	98.779 	3.602 	1.176 	1.002 	152.345 	: 
M,C0000,GWH,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1999.251 	1606.241 	1370.895 	1252.667 	1470.574 	1100.604 	1312.688 	1391.042 	1563.312 	1647.235 	1666.082 	1539.884 	1573.486 	1414.710 	1281.961 	774.763 	1069.320 	1177.353 	1164.273 	1352.972 	1564.639 	1782.668 	1856.292 	1951.481 	1854.000 	1490.566 	1240.146 	1103.584 	1147.867 	710.485 	1071.759 	1121.764 	1199.521 	1487.561 	1315.496 	1332.091 	1228.814 	1297.405 	1142.123 	932.973 	777.560 	683.357 	800.175 	803.762 	871.388 	994.146 	971.350 	1088.052 	1065.492 	886.310 	1081.542 	1228.984 	1034.511 	492.966 	975.295 	1235.301 	1428.951 	1868.297 	1689.846 	1801.431 	1902.058 	1729.433 	1974.102 	1430.972 	1522.584 	1308.465 	1417.354 	1414.279 	1405.471 	1338.916 	1667.133 	1764.316 	1565.887 	1400.785 	944.659 	629.547 	554.331 	339.031 	577.725 	562.135 	654.196 	781.035 	871.225 	1043.759 	905.171 	: 
M,C0000,GWH,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
M,C0000,GWH,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4384.827 	3802.545 	3781.300 	3644.059 	2957.185 	2467.805 	2227.865 	2718.706 	3260.385 	3524.646 	3757.124 	3533.319 	3644.156 	3447.371 	4022.009 	2774.022 	2885.730 	2748.189 	3040.671 	2954.536 	3145.511 	3549.548 	3747.527 	3773.349 	3948.785 	3462.443 	3386.773 	2941.968 	2746.591 	2137.576 	2082.151 	2523.970 	2805.170 	3117.615 	3208.492 	3484.894 	3650.666 	2958.473 	2832.108 	2064.944 	1758.084 	1892.535 	1595.584 	1927.672 	2235.247 	2620.493 	3151.024 	2970.777 	3477.501 	2815.210 	2711.715 	2238.124 	1696.148 	1704.452 	2203.531 	2206.341 	2320.528 	3128.808 	3452.713 	3591.407 	3529.766 	2780.055 	3412.345 	2432.832 	2203.465 	2492.732 	2572.755 	2730.454 	2689.260 	2510.122 	2998.559 	3649.898 	3067.765 	2784.748 	2335.259 	2316.987 	1451.992 	1388.712 	1749.436 	2023.415 	2141.297 	2610.974 	2753.006 	2762.875 	2590.198 	: 
M,C0000,GWH,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24630.691 e	20143.825 e	20054.286 e	17616.264 e	18328.660 e	15664.313 e	16659.249 e	17226.414 e	18368.104 e	16353.700 e	19691.571 e	16986.158 e	17370.698 e	20096.618 e	20354.455 e	15565.367 e	14883.651 e	16135.705 e	18438.476 e	17639.054 e	17009.585 e	18081.565 e	19074.780 e	15681.653 e	18361.465 e	16312.655 e	12072.166 e	13070.741 e	12651.008 e	9815.128 e	11618.428 e	11025.342 e	10521.465 e	12498.180 e	16729.298 e	12096.247 e	13010.209 e	8238.098 e	9416.592 e	6100.342 e	6175.259 e	7586.233 e	8187.322 e	10294.576 e	12046.335 e	12739.241 e	14963.237 e	14117.960 e	16151.663 e	11612.285 e	11708.671 e	10648.226 e	7957.741 e	10953.664 e	10479.903 e	10746.378 e	14962.830 e	14030.452 e	16544.158 e	15992.408 e	15680.051 e	11375.165 e	16770.433 e	12569.320 e	11876.289 e	12568.155 e	13127.403 e	14461.174 e	14579.004 e	12572.814 e	14930.417 e	15724.449 e	14103.533 e	13959.415 e	11433.444 e	9913.728 e	6897.156 e	7098.541 e	6061.523 e	7461.985 e	8698.575 e	9674.588 e	10947.152 e	10597.592 e	10536.739 e	: 
M,C0000,GWH,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	948.169 	882.385 	863.361 	540.879 	413.216 	139.607 	205.827 	269.001 	423.530 	445.801 	597.989 	635.497 	749.818 	967.126 	1253.150 	672.046 	335.162 	114.928 	332.565 	313.293 	323.694 	456.490 	576.386 	776.982 	848.334 	597.785 	519.869 	383.463 	207.721 	28.626 	0.000 	15.588 	76.926 	229.882 	385.789 	500.831 	509.792 	481.411 	470.696 	256.253 	285.566 	164.017 	168.147 	163.818 	163.774 	264.205 	336.564 	494.648 	880.016 	730.135 	523.876 	408.828 	253.036 	261.104 	337.779 	223.431 	483.903 	356.951 	511.106 	777.859 	461.695 	320.080 	637.640 	295.897 	288.184 	185.740 	193.100 	211.200 	239.400 	116.700 	240.400 	395.700 	268.698 	225.049 	207.034 	103.517 	4.474 	69.317 	84.903 	163.584 	57.291 	44.275 	226.176 	257.861 	309.229 	179.122 
M,C0000,GWH,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
M,C0000,GWH,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1708.240 	1573.380 	1330.770 	1129.270 	1080.310 	1214.600 	1466.090 	1345.530 	1202.260 	1460.300 	1529.200 	1346.760 	1551.720 	1313.080 	896.080 	626.390 	1096.320 	1365.340 	1562.200 	1985.180 	1167.140 	992.010 	1271.640 	1594.030 	1381.780 	884.710 	995.420 	905.860 	733.480 	841.791 	795.490 	819.955 	610.059 	680.233 	762.824 	1006.395 	1030.320 	756.840 	457.069 	338.206 	210.610 	206.898 	293.980 	330.832 	311.626 	338.599 	616.990 	829.830 	582.289 	517.470 	644.070 	411.780 	363.609 	253.961 	458.755 	622.200 	357.920 	361.527 	296.690 	470.820 	509.130 	412.580 	671.610 	176.130 	222.830 	468.100 	739.380 	794.900 	394.230 	277.410 	312.781 	606.590 	405.532 	611.167 	428.770 	275.160 	199.690 	218.540 	591.390 	371.480 	187.090 	358.380 	377.490 	488.520 	391.110 	373.420 
M,C0000,GWH,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5387.197 	3516.025 	1969.144 	2090.845 	3763.710 	4533.751 	4310.643 	3248.540 	3073.648 	4107.690 	4827.667 	4345.733 	3240.093 	3693.524 	1538.418 	1569.275 	2462.212 	2497.818 	3730.242 	3753.957 	4375.738 	3551.179 	3983.478 	3026.443 	3291.832 	2410.498 	965.695 	849.160 	464.528 	515.525 	835.350 	598.957 	683.202 	866.484 	676.744 	511.833 	865.902 	821.223 	474.653 	305.165 	242.800 	361.539 	302.225 	337.223 	351.249 	304.642 	355.090 	300.248 	557.915 	176.467 	242.255 	270.349 	332.362 	473.944 	311.710 	319.616 	477.382 	527.604 	576.855 	720.481 	709.964 	568.631 	705.226 	691.199 	527.364 	833.220 	882.427 	819.717 	632.067 	380.972 	321.470 	693.673 	296.207 	417.950 	424.099 	249.854 	239.566 	300.830 	333.011 	415.007 	400.695 	372.646 	220.612 p	211.788 p	268.146 p	: 
M,C0000,GWH,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	63552.884 	52455.932 	48365.541 	43176.746 	45218.971 	41960.660 	44039.640 	43264.290 	45175.079 	46790.846 	52376.815 	47998.014 	47835.766 	51771.889 	49833.437 	36901.831 	38128.257 	39501.657 	45992.531 	46413.167 	45322.987 	47183.663 	48918.519 	45824.889 	49437.611 	41147.536 	34393.998 	32817.321 	31326.004 	27261.506 	30448.580 	28658.534 	27936.121 	33651.957 	38411.329 	33554.364 	34020.637 	26534.226 	26765.682 	19363.386 	18770.250 	20621.758 	22496.232 	25579.587 	28717.422 	30130.256 	33781.431 	33653.187 	39366.981 	30355.146 	30842.700 	27718.702 	22833.165 	26037.776 	28804.267 	29260.548 	35267.615 	35719.463 	39423.285 	41219.374 	40295.565 	31539.002 	41444.795 	31553.864 	29461.750 	31294.758 	32573.398 	35015.706 	34728.066 	31292.689 	36185.024 	40499.881 	34264.832 	32705.033 	28557.163 	24189.913 	18914.390 	18511.582 	18892.253 	21070.264 	22830.523 	25406.699 	27850.012 	: 	: 	: 
M,C0000,GWH,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1046.000 	1005.000 	1031.000 	854.000 	772.000 	435.000 	316.000 	287.000 	449.000 	792.000 	853.000 	908.000 	1004.000 	998.000 	1237.000 	795.000 	468.000 	381.000 	549.000 	385.000 	452.000 	724.000 	904.000 	1061.000 	1229.000 	927.000 	930.000 	631.000 	503.000 	270.000 	271.000 	250.000 	475.000 	727.000 	825.000 	769.000 	712.000 	723.000 	664.000 	546.000 	316.000 	185.000 	132.000 	166.000 	211.000 	420.000 	478.000 	633.000 	747.000 	757.000 	628.000 	408.000 	312.000 	146.000 	75.744 e	207.000 	471.000 	479.000 	615.000 	798.000 	697.000 	590.000 	574.000 	507.000 	420.000 	181.000 	117.000 	188.000 	318.000 	426.000 	695.000 	864.000 	577.000 	527.000 	561.000 	254.000 	129.000 	49.000 	42.000 	151.000 	69.000 	163.000 	362.000 	420.000 	474.000 	: 
M,C0000,GWH,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2426.178 	1474.558 	654.344 	858.139 	782.671 	541.110 	1179.723 	318.699 	787.968 	1470.456 	2079.453 	1339.101 	924.633 e	1721.083 e	1641.466 e	628.567 e	538.707 e	682.294 e	985.441 e	885.758 e	697.212 e	1206.552 e	993.227 e	591.272 e	836.898 e	546.175 e	174.220 e	186.510 e	152.026 e	165.694 e	245.244 e	192.737 e	184.292 e	185.967 e	881.632 e	613.151 e	396.140 e	293.399 e	188.807 e	144.758 e	215.089 e	136.340 e	323.736 e	207.060 e	491.376 e	266.031 e	334.573 e	686.798 e	1486.372 e	654.899 e	573.678 e	373.188 e	145.043 e	163.482 e	209.237 e	285.943 e	859.130 e	1007.277 e	1036.969 e	992.681 e	1406.499 e	1094.811 e	801.336 e	210.205 e	158.933 e	153.228 e	142.291 e	138.495 e	132.392 e	158.953 e	476.322 e	1259.969 e	528.845 e	513.021 e	309.683 e	137.356 e	160.733 e	134.560 e	134.882 e	193.644 e	147.886 e	131.215 e	248.849 e	217.705 e	343.552 e	: 
M,C0000,GWH,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.200 	2.500 	3.948 	1.731 	0.335 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
M,C0000,GWH,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	190.196 	193.256 	177.199 	167.409 	129.585 	0.000 	0.000 	0.000 	31.329 	70.896 	140.662 	142.911 	141.752 	114.634 	118.574 	0.000 	0.000 	131.946 	145.695 	137.327 	138.146 	148.696 	123.229 	135.177 	146.637 	115.205 	141.130 	118.731 	126.361 	124.208 	142.104 	140.087 	109.276 	147.036 	110.719 	82.260 	55.820 	136.363 	45.087 	0.000 	0.000 	113.101 	133.562 	140.872 	111.877 	126.120 	125.262 	122.067 	119.742 	118.240 	136.189 	7.993 	1.101 	136.514 	146.361 	141.809 	128.622 	142.634 	138.681 	115.620 	134.206 	127.770 	94.188 	47.222 	146.448 	142.626 	137.231 	144.714 	119.379 	143.353 	94.587 	98.291 	120.757 	101.454 	129.705 	37.703 	0.000 	129.579 	122.971 	146.260 	137.517 	144.436 	107.434 	35.258 	0.021 	: 
M,C0000,GWH,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	390.398 	383.040 	459.156 	194.208 	229.799 	199.484 	362.806 	464.041 	463.464 	462.932 	462.250 	312.375 	398.228 	334.366 	328.427 	245.494 	292.275 	244.438 	408.731 	387.370 	380.894 	416.297 	369.517 	362.755 	359.065 	311.985 	349.065 	245.968 	197.274 	279.869 	358.260 	287.258 	300.517 	380.338 	283.928 	260.202 	329.988 	317.415 	333.801 	206.993 	189.038 	191.971 	273.507 	303.418 	305.118 	292.214 	285.066 	296.940 	214.468 	190.235 	206.631 	217.209 	203.066 	206.339 	254.653 	276.940 	240.571 	242.989 	203.391 	244.457 	221.391 	202.498 	229.057 	224.638 	217.042 	202.714 	191.185 	238.362 	206.911 	319.252 	205.763 	206.354 	186.305 	190.790 	217.515 	219.420 	157.760 	147.999 	163.956 	151.110 	165.869 	174.751 	202.614 	208.298 	181.909 	: 
M,C0000,GWH,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	520.336 	422.486 	343.874 	327.988 	335.455 	159.847 	155.419 	130.500 	218.405 	186.406 	326.179 	425.973 	272.296 	373.813 	466.456 	257.261 	172.506 	155.743 	161.874 	125.763 	122.362 	0.000 	0.000 	0.030 	129.639 	88.295 	60.609 	10.341 	1.569 	62.014 	1.594 	24.906 	40.999 	9.701 	77.613 	70.348 	3.917 	0.000 	28.259 	74.230 	9.937 	83.022 	101.712 	100.590 	88.500 	78.827 	89.965 	105.723 	273.395 	91.284 	127.938 	234.837 	273.681 	253.891 	290.857 	279.469 	388.783 	307.504 	405.210 	370.386 	301.106 	243.246 	278.989 	157.718 	125.927 	128.208 	291.884 	256.120 	284.574 	108.815 	109.205 	226.388 	147.131 	81.292 	125.702 	88.624 	82.746 	99.594 	86.099 	75.747 	119.761 	93.273 	105.822 	110.699 	99.463 	: 
M,C0000,GWH,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
M,C0000,GWH,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	1469.677 e	1261.934 e	1188.780 e	1013.478 e	975.674 e	1132.050 e	954.610 e	924.993 e	1203.755 e	1333.474 e	1300.106 e	1374.360 e	1254.000 e	1149.000 e	971.000 e	832.000 e	781.000 e	877.000 e	984.000 e	721.000 e	1027.000 e	1074.000 e	978.000 e	1047.000 e	: 	: 
M,C0000,GWH,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
M,C0000,GWH,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 
M,C0000,GWH,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	2.000 	1.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
M,C0000,GWH,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
M,C0000,GWH,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	126.000 	130.000 	131.000 	56.000 	0.000 	45.000 	144.000 	133.000 	144.000 	151.000 	137.000 	68.000 	150.000 	139.000 	130.000 	0.000 	3.000 	148.000 	152.000 	139.000 	147.000 	152.000 	130.000 	154.000 	154.455 	138.891 	153.062 	0.000 	0.000 	109.836 	153.722 	144.326 	149.662 	154.705 	117.443 	114.005 	152.856 	144.534 	154.070 	14.239 	0.000 	110.769 	154.250 	153.978 	148.830 	154.215 	146.387 	153.334 	153.129 	138.544 	152.373 	0.000 	0.000 	17.709 	157.476 	107.069 	149.109 	154.351 	149.045 	153.808 	153.765 	120.785 	153.643 	107.089 	0.000 	34.388 	136.697 	152.864 	113.410 	156.193 	160.695 	164.611 	162.866 	122.841 	149.418 	80.730 	0.000 	121.855 	149.234 	149.872 	145.539 	150.093 	142.867 	147.668 	: 	: 
M,C0000,GWH,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	330.355 	326.273 	294.957 	249.032 	250.021 	241.804 	228.897 	239.792 	237.530 	241.171 	233.040 	272.180 	241.531 	212.163 	215.378 	118.057 	99.467 	192.627 	189.390 	247.267 	214.025 	255.051 	262.224 	365.859 	372.509 	316.728 	338.588 	258.331 	247.645 	220.264 	225.718 	289.323 	240.486 	211.685 	237.779 	281.329 	310.041 	310.744 	239.173 	204.656 	170.056 	131.563 	164.667 	121.516 	186.757 	207.685 	178.297 	225.779 	164.337 	140.683 	186.068 	192.987 	100.830 	137.087 	185.865 	192.108 	216.037 	153.184 	147.063 	221.207 	231.100 	186.052 	204.967 	238.946 	233.960 	236.068 	240.670 	237.302 	188.466 	262.849 	219.796 	243.488 	270.092 	255.883 	216.325 	215.142 	213.008 	207.238 	153.424 	183.822 	174.293 	187.177 	238.904 	249.167 	: 	: 
